<<<<<<< HEAD
"","make.model","mpg","cyl","disp","hp","drat","wt","qsec","vs","transmission","gear","carb","make","country","origin","continent","sportiness"
"40","Merc 240D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes","Germany","foreign","Europe","Not sporty"
"41","Merc 230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes","Germany","foreign","Europe","Not sporty"
"42","Merc 280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes","Germany","foreign","Europe","Not sporty"
"43","Merc 280C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes","Germany","foreign","Europe","Not sporty"
"44","Merc 450SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes","Germany","foreign","Europe","Total boat"
"45","Merc 450SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes","Germany","foreign","Europe","Not sporty"
"46","Merc 450SLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes","Germany","foreign","Europe","Kinda sporty"
"47","Cadillac Fleetwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cadillac","USA","domestic","North America","Total boat"
"48","Lincoln Continental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lincoln","USA","domestic","North America","Total boat"
"49","Chrysler Imperial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chrysler","USA","domestic","North America","Total boat"
"50","Fiat 128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fiat","Italy","foreign","Europe","Not sporty"
"51","Honda Civic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Honda","Japan","foreign","Asia","Not sporty"
"52","Toyota Corolla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toyota","Japan","foreign","Asia","Not sporty"
"53","Toyota Corona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toyota","Japan","foreign","Asia","Not sporty"
"54","Dodge Challenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dodge","USA","domestic","North America","Pretty sporty"
"55","AMC Javelin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMC","USA","domestic","North America","Pretty sporty"
"56","Camaro Z28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chevrolet","USA","domestic","North America","Not sporty"
"57","Pontiac Firebird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pontiac","USA","domestic","North America","Pretty sporty"
"58","Fiat X1-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fiat","Italy","foreign","Europe","Kinda sporty"
"59","Porsche 914-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porsche","Germany","foreign","Europe","Pretty sporty"
"60","Lotus Europa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lotus","UK","foreign","Europe","Pretty sporty"
"61","Ford Pantera L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ford","USA","domestic","North America","Pretty sporty"
"62","Ferrari Dino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferrari","Italy","foreign","Europe","Pretty sporty"
"63","Maserati Bora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maserati","Italy","foreign","Europe","Pretty sporty"
"64","Volvo 142E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volvo","Sweden","foreign","Europe","Not sporty"
=======
"make.model","make","country","mpg","cyl","disp","hp","drat","wt","qsec","vs","transmission","gear","carb","origin","continent"
"AMC Javelin","AMC","USA",15.2,"8",304,150,3.15,3.435,17.3,"0","Automatic","3","2","domestic","North America"
"Cadillac Fleetwood","Cadillac","USA",10.4,"8",472,205,2.93,5.25,17.98,"0","Automatic","3","4","domestic","North America"
"Camaro Z28","Chevrolet","USA",13.3,"8",350,245,3.73,3.84,15.41,"0","Automatic","3","4","domestic","North America"
"Chrysler Imperial","Chrysler","USA",14.7,"8",440,230,3.23,5.345,17.42,"0","Automatic","3","4","domestic","North America"
"Datsun 710","Datsun","Japan",22.8,"4",108,93,3.85,2.32,18.61,"1","Manual","4","1","foreign","Asia"
"Dodge Challenger","Dodge","USA",15.5,"8",318,150,2.76,3.52,16.87,"0","Automatic","3","2","domestic","North America"
"Duster 360","Plymouth","USA",14.3,"8",360,245,3.21,3.57,15.84,"0","Automatic","3","4","domestic","North America"
"Ferrari Dino","Ferrari","Italy",19.7,"6",145,175,3.62,2.77,15.5,"0","Manual","5","6","foreign","Europe"
"Fiat 128","Fiat","Italy",32.4,"4",78.7,66,4.08,2.2,19.47,"1","Manual","4","1","foreign","Europe"
"Fiat X1-9","Fiat","Italy",27.3,"4",79,66,4.08,1.935,18.9,"1","Manual","4","1","foreign","Europe"
"Ford Pantera L","Ford","USA",15.8,"8",351,264,4.22,3.17,14.5,"0","Manual","5","4","domestic","North America"
"Honda Civic","Honda","Japan",30.4,"4",75.7,52,4.93,1.615,18.52,"1","Manual","4","2","foreign","Asia"
"Hornet 4 Drive","AMC","USA",21.4,"6",258,110,3.08,3.215,19.44,"1","Automatic","3","1","domestic","North America"
"Hornet Sportabout","AMC","USA",18.7,"8",360,175,3.15,3.44,17.02,"0","Automatic","3","2","domestic","North America"
"Lincoln Continental","Lincoln","USA",10.4,"8",460,215,3,5.424,17.82,"0","Automatic","3","4","domestic","North America"
"Lotus Europa","Lotus","UK",30.4,"4",95.1,113,3.77,1.513,16.9,"1","Manual","5","2","foreign","Europe"
"Maserati Bora","Maserati","Italy",15,"8",301,335,3.54,3.57,14.6,"0","Manual","5","8","foreign","Europe"
"Mazda RX4","Mazda","Japan",21,"6",160,110,3.9,2.62,16.46,"0","Manual","4","4","foreign","Asia"
"Mazda RX4 Wag","Mazda","Japan",21,"6",160,110,3.9,2.875,17.02,"0","Manual","4","4","foreign","Asia"
"Merc 230","Mercedes","Germany",22.8,"4",140.8,95,3.92,3.15,22.9,"1","Automatic","4","2","foreign","Europe"
"Merc 240D","Mercedes","Germany",24.4,"4",146.7,62,3.69,3.19,20,"1","Automatic","4","2","foreign","Europe"
"Merc 280","Mercedes","Germany",19.2,"6",167.6,123,3.92,3.44,18.3,"1","Automatic","4","4","foreign","Europe"
"Merc 280C","Mercedes","Germany",17.8,"6",167.6,123,3.92,3.44,18.9,"1","Automatic","4","4","foreign","Europe"
"Merc 450SE","Mercedes","Germany",16.4,"8",275.8,180,3.07,4.07,17.4,"0","Automatic","3","3","foreign","Europe"
"Merc 450SL","Mercedes","Germany",17.3,"8",275.8,180,3.07,3.73,17.6,"0","Automatic","3","3","foreign","Europe"
"Merc 450SLC","Mercedes","Germany",15.2,"8",275.8,180,3.07,3.78,18,"0","Automatic","3","3","foreign","Europe"
"Pontiac Firebird","Pontiac","USA",19.2,"8",400,175,3.08,3.845,17.05,"0","Automatic","3","2","domestic","North America"
"Porsche 914-2","Porsche","Germany",26,"4",120.3,91,4.43,2.14,16.7,"0","Manual","5","2","foreign","Europe"
"Toyota Corolla","Toyota","Japan",33.9,"4",71.1,65,4.22,1.835,19.9,"1","Manual","4","1","foreign","Asia"
"Toyota Corona","Toyota","Japan",21.5,"4",120.1,97,3.7,2.465,20.01,"1","Automatic","3","1","foreign","Asia"
"Valiant","Plymouth","USA",18.1,"6",225,105,2.76,3.46,20.22,"1","Automatic","3","1","domestic","North America"
"Volvo 142E","Volvo","Sweden",21.4,"4",121,109,4.11,2.78,18.6,"1","Manual","4","2","foreign","Europe"
>>>>>>> 3f8269c777bf567ec2bcd28b2bdc2b23a61b66d0
